profesorado,nombre,anio,cuatrimestre,plan,libre_habilitado
Certificación Docente para la Educación Secundaria,EDI Políticas de Inclusión en Educación,1,1,3154-21,
Certificación Docente para la Educación Secundaria,Historia Social Argentina y Latinoamericana,1,1,3154-21,
Certificación Docente para la Educación Secundaria,Psicología Educacional,1,1,3154-21,
Certificación Docente para la Educación Secundaria,Curriculum,1,2,3154-21,
Certificación Docente para la Educación Secundaria,Marco Político Normativo en Educación Secundaria,1,2,3154-21,
Certificación Docente para la Educación Secundaria,Didáctica General,1,Anual,3154-21,
Certificación Docente para la Educación Secundaria,Pedagogía,1,Anual,3154-21,
Certificación Docente para la Educación Secundaria,Problemática de la Educación Secundaria,1,Anual,3154-21,
Certificación Docente para la Educación Secundaria,Práctica Profesional I,1,Anual,3154-21,
Certificación Docente para la Educación Secundaria,Sujeto de la Educación Secundaria 1,1,Anual,3154-21,
Certificación Docente para la Educación Secundaria,Alfabetización Digital,2,1,3154-21,
Certificación Docente para la Educación Secundaria,Filosofía de la Educación,2,1,3154-21,
Certificación Docente para la Educación Secundaria,ESI,2,2,3154-21,
Certificación Docente para la Educación Secundaria,Proceso de Evaluación de la Ed. Secundaria,2,2,3154-21,
Certificación Docente para la Educación Secundaria,Didáctica del Nivel Secundario,2,Anual,3154-21,
Certificación Docente para la Educación Secundaria,EDI,2,Anual,3154-21,
Certificación Docente para la Educación Secundaria,Práctica Profesional II,2,Anual,3154-21,
Certificación Docente para la Educación Secundaria,Sujeto de la Educación Secundaria II,2,Anual,3154-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Alfabetización Académica,1,1,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Cuerpo Juego y Expresión,1,1,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Historia Social Argentina y Latinoamericana,1,1,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Prácticas del Lenguaje,1,1,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Comunicación y Lenguaje,1,2,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Matemática,1,2,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Psicología educacional,1,2,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Pedagogia,1,Anual,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Problemática contemporánea de la Educación Especial,1,Anual,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Práctica : instituciones educativas y comunidad,1,Anual,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Sujeto de la Educación Especial,1,Anual,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Bases de la Neuropsicobiología,2,1,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Ciencias Naturales,2,1,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Ciencias Sociales,2,1,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Curriculum,2,1,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Ciencias Naturales y su enseñanza,2,2,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Ciencias Sociales y su enseñanza,2,2,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Historia y Politica Educacional,2,2,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Prácticas del Lenguaje y su enseñanza,2,2,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Abordajes Pedagógicos en Sujetos con DI,2,Anual,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Didáctica General,2,Anual,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Matemática y su enseñanza,2,Anual,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Práctica II: Enseñanza y Curriculum,2,Anual,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Abordajes Pedagógicos Complejos,3,1,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Alfabetización Digital,3,1,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Alfabetización Inicial,3,1,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Filosofia de la educación,3,1,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Procesos Subjetivos en Contextos,3,1,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Construcción de la Ciudadanía,3,2,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Educación Sexual Integral,3,2,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Educación Temprana,3,2,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Lenguajes Artísticos Integrados,3,2,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Sociología de la educación,3,2,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Educación Integral de Adolescentes Jóvenes y Adultos Mayores con DI,3,Anual,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Educación Psicomotriz,3,Anual,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Práctica III: Prácticas de enseñanza,3,Anual,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Investigación Educativa,4,Anual,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Práctica IV: Residencia Pedagógica,4,Anual,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Taller de Residencia de Ciencias Naturales,4,Anual,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Taller de Residencia de Ciencias Sociales,4,Anual,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Taller de Residencia de Matemática,4,Anual,1375-21,
Profesorado de Educación Especial (Orientación en Discapacidad Intelectual),Taller de Residencia de Prácticas del Lenguaje,4,Anual,1375-21,
Profesorado de Educación Inicial,Alfabetización Académica,1,1,1933-14,
Profesorado de Educación Inicial,Cuerpo juego y expresión,1,1,1933-14,
Profesorado de Educación Inicial,Historia social argentina y latinoamericana,1,1,1933-14,
Profesorado de Educación Inicial,Lenguaje musical y su enseñanza,1,2,1933-14,
Profesorado de Educación Inicial,Psicología educacional,1,2,1933-14,
Profesorado de Educación Inicial,Lenguaje Visual y su enseñanza,1,Anual,1933-14,
Profesorado de Educación Inicial,Pedagogía,1,Anual,1933-14,
Profesorado de Educación Inicial,Prácticas del Lenguaje,1,Anual,1933-14,
Profesorado de Educación Inicial,Práctica I: Instituciones educativas y comunidad,1,Anual,1933-14,
Profesorado de Educación Inicial,Problemática contemporánea de la Educación Inicial,1,Anual,1933-14,
Profesorado de Educación Inicial,Sujetos de la educación inicial,1,Anual,1933-14,
Profesorado de Educación Inicial,Curriculum,2,1,1933-14,
Profesorado de Educación Inicial,La institución Jardín Maternal,2,1,1933-14,
Profesorado de Educación Inicial,Lenguaje corporal y su enseñanza,2,1,1933-14,
Profesorado de Educación Inicial,Historia y Política Educacional,2,2,1933-14,
Profesorado de Educación Inicial,Literatura infantil,2,2,1933-14,
Profesorado de Educación Inicial,Matemática,2,2,1933-14,
Profesorado de Educación Inicial,Alfabetización Inicial,2,Anual,1933-14,
Profesorado de Educación Inicial,Ciencias Naturales,2,Anual,1933-14,
Profesorado de Educación Inicial,Ciencias Sociales,2,Anual,1933-14,
Profesorado de Educación Inicial,Didáctica de la Educación Inicial I,2,Anual,1933-14,
Profesorado de Educación Inicial,Didáctica general,2,Anual,1933-14,
Profesorado de Educación Inicial,Práctica II: Enseñanza y curriculum,2,Anual,1933-14,
Profesorado de Educación Inicial,Educación sexual integral,3,1,1933-14,
Profesorado de Educación Inicial,Filosofía de la Educación,3,1,1933-14,
Profesorado de Educación Inicial,Producción de materiales y objetos lúdicos,3,1,1933-14,
Profesorado de Educación Inicial,Formación Ética y Ciudadana,3,2,1933-14,
Profesorado de Educación Inicial,Sociología de la Educación,3,2,1933-14,
Profesorado de Educación Inicial,Didáctica de la Educación inicial II,3,Anual,1933-14,
Profesorado de Educación Inicial,Didáctica de la Matemática,3,Anual,1933-14,
Profesorado de Educación Inicial,Didáctica de las Ciencias Naturales,3,Anual,1933-14,
Profesorado de Educación Inicial,Didáctica de las Ciencias Sociales,3,Anual,1933-14,
Profesorado de Educación Inicial,Didáctica de las Prácticas del Lenguaje,3,Anual,1933-14,
Profesorado de Educación Inicial,Práctica III: Práctica de la Enseñanza,3,Anual,1933-14,
Profesorado de Educación Inicial,Proyectos Educativos con TIC,4,1,1933-14,
Profesorado de Educación Inicial,Educación Física y su enseñanza,4,2,1933-14,
Profesorado de Educación Inicial,Investigación Educativa,4,Anual,1933-14,
Profesorado de Educación Inicial,Práctica IV: Residencia pedagógica,4,Anual,1933-14,
Profesorado de Educación Inicial,Taller integrador interdisciplinario,4,Anual,1933-14,
Profesorado de Educación Primaria,Alfabetización Académica,1,1,1935-14,
Profesorado de Educación Primaria,Cuerpo juego y expresión,1,1,1935-14,
Profesorado de Educación Primaria,Historia Social Argentina y Latinoamericana,1,1,1935-14,
Profesorado de Educación Primaria,Educación Sexual Integral,1,2,1935-14,
Profesorado de Educación Primaria,Psicología Educacional,1,2,1935-14,
Profesorado de Educación Primaria,Ciencias Naturales,1,Anual,1935-14,
Profesorado de Educación Primaria,Matemática,1,Anual,1935-14,
Profesorado de Educación Primaria,Pedagogía,1,Anual,1935-14,
Profesorado de Educación Primaria,Prácticas del Lenguaje,1,Anual,1935-14,
Profesorado de Educación Primaria,Práctica I: Instituciones educativas y comunidad,1,Anual,1935-14,
Profesorado de Educación Primaria,Curriculum,2,1,1935-14,
Profesorado de Educación Primaria,Historia y política de la educacional,2,2,1935-14,
Profesorado de Educación Primaria,Ciencias Sociales,2,Anual,1935-14,
Profesorado de Educación Primaria,Didáctica de la matemática,2,Anual,1935-14,
Profesorado de Educación Primaria,Didáctica de las ciencias naturales,2,Anual,1935-14,
Profesorado de Educación Primaria,Didáctica General,2,Anual,1935-14,
Profesorado de Educación Primaria,Problemática de la educación primaria,2,Anual,1935-14,
Profesorado de Educación Primaria,Práctica II: Enseñanza y curriculum,2,Anual,1935-14,
Profesorado de Educación Primaria,Sujeto de la Educación primaria,2,Anual,1935-14,
Profesorado de Educación Primaria,Filosofía de la Educación,3,1,1935-14,
Profesorado de Educación Primaria,Formación Ética y Ciudadana,3,1,1935-14,
Profesorado de Educación Primaria,Sujeto de la Educación Primaria II,3,1,1935-14,
Profesorado de Educación Primaria,Educación Física,3,2,1935-14,
Profesorado de Educación Primaria,Sociología de la Educación,3,2,1935-14,
Profesorado de Educación Primaria,Alfabetización Inicial,3,Anual,1935-14,
Profesorado de Educación Primaria,Didáctica de las Ciencias Sociales,3,Anual,1935-14,
Profesorado de Educación Primaria,Didáctica de las prácticas del lenguaje,3,Anual,1935-14,
Profesorado de Educación Primaria,Lenguajes artísticos,3,Anual,1935-14,
Profesorado de Educación Primaria,Práctica III: Práctica de la enseñanza,3,Anual,1935-14,
Profesorado de Educación Primaria,Proyectos Educativos con TIC,4,1,1935-14,
Profesorado de Educación Primaria,Investigación Educativa,4,Anual,1935-14,
Profesorado de Educación Primaria,Práctica IV: Residencia pedagógica,4,Anual,1935-14,
Profesorado de Educación Primaria,Taller de Residencia de Ciencias Naturales,4,Anual,1935-14,
Profesorado de Educación Primaria,Taller de Residencia de Ciencias Sociales,4,Anual,1935-14,
Profesorado de Educación Primaria,Taller de Residencia de Matemática,4,Anual,1935-14,
Profesorado de Educación Primaria,Taller de Residencia de Prácticas del Lenguaje,4,Anual,1935-14,
Profesorado de Educación Secundaria en Biología,Alfabetización Académica,1,1,4333-12,
Profesorado de Educación Secundaria en Biología,Historia Social Argentina y Latinoamericana,1,1,4333-12,
Profesorado de Educación Secundaria en Biología,Introducción a la Filosofía,1,1,4333-12,
Profesorado de Educación Secundaria en Biología,Matemática,1,1,4333-12,
Profesorado de Educación Secundaria en Biología,Química general e inorgánica,1,1,4333-12,
Profesorado de Educación Secundaria en Biología,EDI,1,2,4333-12,
Profesorado de Educación Secundaria en Biología,Epistemología e historia de las ciencias,1,2,4333-12,
Profesorado de Educación Secundaria en Biología,Introducción a la Física,1,2,4333-12,
Profesorado de Educación Secundaria en Biología,Química Orgánica,1,2,4333-12,
Profesorado de Educación Secundaria en Biología,Introducción a la biología,1,Anual,4333-12,
Profesorado de Educación Secundaria en Biología,Pedagogía,1,Anual,4333-12,
Profesorado de Educación Secundaria en Biología,Práctica I: Instituciones educativas y Comunidad,1,Anual,4333-12,
Profesorado de Educación Secundaria en Biología,Biología celular y molecular,2,1,4333-12,
Profesorado de Educación Secundaria en Biología,Bioquímica y biofísica,2,1,4333-12,
Profesorado de Educación Secundaria en Biología,Curriculum,2,1,4333-12,
Profesorado de Educación Secundaria en Biología,Psicología Educacional,2,1,4333-12,
Profesorado de Educación Secundaria en Biología,Didáctica Específica I,2,2,4333-12,
Profesorado de Educación Secundaria en Biología,Historia y Política Educacional,2,2,4333-12,
Profesorado de Educación Secundaria en Biología,Metodología de la Investigación en Biología,2,2,4333-12,
Profesorado de Educación Secundaria en Biología,Microbiología,2,2,4333-12,
Profesorado de Educación Secundaria en Biología,Ciencias de la tierra,2,Anual,4333-12,
Profesorado de Educación Secundaria en Biología,Didáctica General,2,Anual,4333-12,
Profesorado de Educación Secundaria en Biología,Práctica II: Enseñanza y Curriculum,2,Anual,4333-12,
Profesorado de Educación Secundaria en Biología,Sujetos de la Educación I,2,Anual,4333-12,
Profesorado de Educación Secundaria en Biología,Ecología,3,1,4333-12,
Profesorado de Educación Secundaria en Biología,Filosofía de la Educación,3,1,4333-12,
Profesorado de Educación Secundaria en Biología,Genética,3,1,4333-12,
Profesorado de Educación Secundaria en Biología,Sujetos de la Educación II,3,1,4333-12,
Profesorado de Educación Secundaria en Biología,Didáctica Específica II,3,2,4333-12,
Profesorado de Educación Secundaria en Biología,Evolución,3,2,4333-12,
Profesorado de Educación Secundaria en Biología,Sociología de la Educación,3,2,4333-12,
Profesorado de Educación Secundaria en Biología,Anatomía y Fisiología,3,Anual,4333-12,
Profesorado de Educación Secundaria en Biología,Práctica III: Práctica de la Enseñanza,3,Anual,4333-12,
Profesorado de Educación Secundaria en Biología,Ambiente y Sociedad,4,1,4333-12,
Profesorado de Educación Secundaria en Biología,Promoción y Cuidado de la Salud,4,1,4333-12,
Profesorado de Educación Secundaria en Biología,Proyectos Educativos con TIC,4,1,4333-12,
Profesorado de Educación Secundaria en Biología,Bioestadística,4,2,4333-12,
Profesorado de Educación Secundaria en Biología,Educación Ambiental,4,2,4333-12,
Profesorado de Educación Secundaria en Biología,EDI,4,2,4333-12,
Profesorado de Educación Secundaria en Biología,Didáctica Específica III,4,Anual,4333-12,
Profesorado de Educación Secundaria en Biología,Diversidad Animal,4,Anual,4333-12,
Profesorado de Educación Secundaria en Biología,Diversidad Vegetal,4,Anual,4333-12,
Profesorado de Educación Secundaria en Biología,Investigación Educativa,4,Anual,4333-12,
Profesorado de Educación Secundaria en Biología,Práctica IV: Residencia Pedagógica,4,Anual,4333-12,
Profesorado de Educación Secundaria en Geografía,Alfabetización Académica,1,1,0335-15,
Profesorado de Educación Secundaria en Geografía,Geografía de la Población,1,1,0335-15,
Profesorado de Educación Secundaria en Geografía,Geografía Física General,1,1,0335-15,
Profesorado de Educación Secundaria en Geografía,Historia Social Argentina y Latinoamericana,1,1,0335-15,
Profesorado de Educación Secundaria en Geografía,Introducción a la Filosofía,1,1,0335-15,
Profesorado de Educación Secundaria en Geografía,Cartografia,1,2,0335-15,
Profesorado de Educación Secundaria en Geografía,Geomorfología,1,2,0335-15,
Profesorado de Educación Secundaria en Geografía,Psicología Educacional,1,2,0335-15,
Profesorado de Educación Secundaria en Geografía,Territorio Estado y Cultura,1,2,0335-15,
Profesorado de Educación Secundaria en Geografía,Introducción a la Geografía,1,Anual,0335-15,
Profesorado de Educación Secundaria en Geografía,Pedagogía,1,Anual,0335-15,
Profesorado de Educación Secundaria en Geografía,Pensamiento económico en perspectiva geográfica,1,Anual,0335-15,
Profesorado de Educación Secundaria en Geografía,Práctica I,1,Anual,0335-15,
Profesorado de Educación Secundaria en Geografía,Climatología e hidrología,2,1,0335-15,
Profesorado de Educación Secundaria en Geografía,Curriculum,2,1,0335-15,
Profesorado de Educación Secundaria en Geografía,Geografía Social Latinoamericana,2,1,0335-15,
Profesorado de Educación Secundaria en Geografía,Problemáticas de los espacios mundiales,2,1,0335-15,
Profesorado de Educación Secundaria en Geografía,Didáctica de la Geografía I,2,2,0335-15,
Profesorado de Educación Secundaria en Geografía,Ecología y biogeografía,2,2,0335-15,
Profesorado de Educación Secundaria en Geografía,Economía desarrollo y sustentabilidad,2,2,0335-15,
Profesorado de Educación Secundaria en Geografía,Historia y Política Educacional,2,2,0335-15,
Profesorado de Educación Secundaria en Geografía,Sociedad y Ambiente en Latinoamérica,2,2,0335-15,
Profesorado de Educación Secundaria en Geografía,Didáctica General,2,Anual,0335-15,
Profesorado de Educación Secundaria en Geografía,Práctica II,2,Anual,0335-15,
Profesorado de Educación Secundaria en Geografía,Sujetos de la Educación Secundaria I,2,Anual,0335-15,
Profesorado de Educación Secundaria en Geografía,Filosofía de la Educación,3,1,0335-15,
Profesorado de Educación Secundaria en Geografía,Geografía Urbana,3,1,0335-15,
Profesorado de Educación Secundaria en Geografía,Sistema socioeconómico y economías regionales en,3,1,0335-15,
Profesorado de Educación Secundaria en Geografía,Sujetos de la Educación Secundaria II,3,1,0335-15,
Profesorado de Educación Secundaria en Geografía,Uso y aplicación de TIC en Geografía,3,1,0335-15,
Profesorado de Educación Secundaria en Geografía,Geografía Rural,3,2,0335-15,
Profesorado de Educación Secundaria en Geografía,Proceso de construcción del Territorio Argentino,3,2,0335-15,
Profesorado de Educación Secundaria en Geografía,Sistemas de Información Geográfica,3,2,0335-15,
Profesorado de Educación Secundaria en Geografía,Sociología de la Educación,3,2,0335-15,
Profesorado de Educación Secundaria en Geografía,Didáctica de la Geografia II,3,Anual,0335-15,
Profesorado de Educación Secundaria en Geografía,Práctica III,3,Anual,0335-15,
Profesorado de Educación Secundaria en Geografía,Construcción del Territorio Patagónico,4,1,0335-15,
Profesorado de Educación Secundaria en Geografía,Geografía de las redes y de la circulación,4,1,0335-15,
Profesorado de Educación Secundaria en Geografía,Patrimonio áreas protegidas y turismo,4,1,0335-15,
Profesorado de Educación Secundaria en Geografía,Proyectos educativos con TIC,4,1,0335-15,
Profesorado de Educación Secundaria en Geografía,Construcción del Territorio fueguino  malvinense y Antártico,4,2,0335-15,
Profesorado de Educación Secundaria en Geografía,Educación Sexual Integral,4,2,0335-15,
Profesorado de Educación Secundaria en Geografía,Geografía y diversidad social,4,2,0335-15,
Profesorado de Educación Secundaria en Geografía,Didáctica de la Geografía III,4,Anual,0335-15,
Profesorado de Educación Secundaria en Geografía,Investigación Educativa,4,Anual,0335-15,
Profesorado de Educación Secundaria en Geografía,Práctica IV,4,Anual,0335-15,
Profesorado de Educación Secundaria en Historia,Alfabetización Académica,1,1,0352-15,
Profesorado de Educación Secundaria en Historia,Antropología social y cultural,1,1,0352-15,
Profesorado de Educación Secundaria en Historia,Introducción a la Filosofia,1,1,0352-15,
Profesorado de Educación Secundaria en Historia,Introducción a la problemática de la Historia,1,1,0352-15,
Profesorado de Educación Secundaria en Historia,Antropología Biológica y Etnografía Americana,1,2,0352-15,
Profesorado de Educación Secundaria en Historia,Geografía social,1,2,0352-15,
Profesorado de Educación Secundaria en Historia,Psicología Educacional,1,2,0352-15,
Profesorado de Educación Secundaria en Historia,Historia social y económica general,1,Anual,0352-15,
Profesorado de Educación Secundaria en Historia,Mundo Antiguo,1,Anual,0352-15,
Profesorado de Educación Secundaria en Historia,Pedagogía,1,Anual,0352-15,
Profesorado de Educación Secundaria en Historia,Práctica I: Instituciones educativa y comunidad,1,Anual,0352-15,
Profesorado de Educación Secundaria en Historia,Curriculum,2,1,0352-15,
Profesorado de Educación Secundaria en Historia,Historia Americana y Argentina I,2,1,0352-15,
Profesorado de Educación Secundaria en Historia,Mundo Feudal,2,1,0352-15,
Profesorado de Educación Secundaria en Historia,Teoría Social y Política,2,1,0352-15,
Profesorado de Educación Secundaria en Historia,Didáctica de la Historia I,2,2,0352-15,
Profesorado de Educación Secundaria en Historia,Filosofía de la Educación,2,2,0352-15,
Profesorado de Educación Secundaria en Historia,Historia Americana y Argentina II,2,2,0352-15,
Profesorado de Educación Secundaria en Historia,Mundo Moderno,2,2,0352-15,
Profesorado de Educación Secundaria en Historia,Didáctica General,2,Anual,0352-15,
Profesorado de Educación Secundaria en Historia,Práctica II: Enseñanza y curriculum,2,Anual,0352-15,
Profesorado de Educación Secundaria en Historia,Sujetos de la Educación Secundaria I,2,Anual,0352-15,
Profesorado de Educación Secundaria en Historia,Historia y Política Educacional,3,1,0352-15,
Profesorado de Educación Secundaria en Historia,Sujetos de la Educación Secundaria II,3,1,0352-15,
Profesorado de Educación Secundaria en Historia,Historiografía General,3,2,0352-15,
Profesorado de Educación Secundaria en Historia,Sociología de la Educación,3,2,0352-15,
Profesorado de Educación Secundaria en Historia,Arte y Estética,3,Anual,0352-15,
Profesorado de Educación Secundaria en Historia,Didáctica de la Historia II,3,Anual,0352-15,
Profesorado de Educación Secundaria en Historia,Historia Americana Contemporánea,3,Anual,0352-15,
Profesorado de Educación Secundaria en Historia,Historia Argentina Contemporánea,3,Anual,0352-15,
Profesorado de Educación Secundaria en Historia,Mundo de los siglos XX y XXI,3,Anual,0352-15,
Profesorado de Educación Secundaria en Historia,Práctica III: Práctica de enseñanza,3,Anual,0352-15,
Profesorado de Educación Secundaria en Historia,Educación Sexual Integral,4,1,0352-15,
Profesorado de Educación Secundaria en Historia,Filosofía de la Historia,4,1,0352-15,
Profesorado de Educación Secundaria en Historia,Proyectos educativos con TIC,4,1,0352-15,
Profesorado de Educación Secundaria en Historia,Didáctica de la Historia III,4,Anual,0352-15,
Profesorado de Educación Secundaria en Historia,Historia de Tierra del Fuego,4,Anual,0352-15,
Profesorado de Educación Secundaria en Historia,Investigación Educativa,4,Anual,0352-15,
Profesorado de Educación Secundaria en Historia,Metodología de la investigación en Historia,4,Anual,0352-15,
Profesorado de Educación Secundaria en Historia,Práctica IV,4,Anual,0352-15,
Profesorado de Educación Secundaria en Lengua y Literatura,Alfabetización Académica,1,1,4334-12,
Profesorado de Educación Secundaria en Lengua y Literatura,Historia Social Argentina y Latinoamericana,1,1,4334-12,
Profesorado de Educación Secundaria en Lengua y Literatura,Introducción a la Filosofía,1,1,4334-12,
Profesorado de Educación Secundaria en Lengua y Literatura,Introducción a las Ciencias del Lenguaje,1,1,4334-12,
Profesorado de Educación Secundaria en Lengua y Literatura,EDI,1,2,4334-12,
Profesorado de Educación Secundaria en Lengua y Literatura,Introducción a la Literatura,1,2,4334-12,
Profesorado de Educación Secundaria en Lengua y Literatura,Lingüística del texto,1,2,4334-12,
Profesorado de Educación Secundaria en Lengua y Literatura,Sociolingüística,1,2,4334-12,
Profesorado de Educación Secundaria en Lengua y Literatura,Gramática l,1,Anual,4334-12,
Profesorado de Educación Secundaria en Lengua y Literatura,Historia del Arte,1,Anual,4334-12,
Profesorado de Educación Secundaria en Lengua y Literatura,Pedagogía,1,Anual,4334-12,
Profesorado de Educación Secundaria en Lengua y Literatura,Práctica I: Instituciones Escolares y Comunidad,1,Anual,4334-12,
Profesorado de Educación Secundaria en Lengua y Literatura,Curriculum,2,1,4334-12,
Profesorado de Educación Secundaria en Lengua y Literatura,Psicolingüística,2,1,4334-12,
Profesorado de Educación Secundaria en Lengua y Literatura,Psicología Educacional,2,1,4334-12,
Profesorado de Educación Secundaria en Lengua y Literatura,Didáctica específica I,2,2,4334-12,
Profesorado de Educación Secundaria en Lengua y Literatura,Historia y Política Educaciional,2,2,4334-12,
Profesorado de Educación Secundaria en Lengua y Literatura,Didáctica General,2,Anual,4334-12,
Profesorado de Educación Secundaria en Lengua y Literatura,Gramática II,2,Anual,4334-12,
Profesorado de Educación Secundaria en Lengua y Literatura,Literatura en lengua española I,2,Anual,4334-12,
Profesorado de Educación Secundaria en Lengua y Literatura,Literatura en Lenguas Extranjeras I: La Dramática,2,Anual,4334-12,
Profesorado de Educación Secundaria en Lengua y Literatura,Práctica II: Enseñanza y Curriculum,2,Anual,4334-12,
Profesorado de Educación Secundaria en Lengua y Literatura,Sujetos de la Educación I,2,Anual,4334-12,
Profesorado de Educación Secundaria en Lengua y Literatura,Teoría Literaria,2,Anual,4334-12,
Profesorado de Educación Secundaria en Lengua y Literatura,Filosofía de la Educación,3,1,4334-12,
Profesorado de Educación Secundaria en Lengua y Literatura,Lenguas Clásicas,3,1,4334-12,
Profesorado de Educación Secundaria en Lengua y Literatura,Prácticas Discursivas I,3,1,4334-12,
Profesorado de Educación Secundaria en Lengua y Literatura,Sujetos de la Educación II,3,1,4334-12,
Profesorado de Educación Secundaria en Lengua y Literatura,EDI,3,2,4334-12,
